"Name","RA","DEC","GLON","GLAT","r50","n07","pmRA","e_pmRA","pmDE","e_pmDE","plx","e_plx","Flag","Age","A","D_m","D_pc","X","Y","Z","Rgc"
"BDSB91",96.319,-10.551,219.468,-10.554,0.036,32,-3.183,0.196,1.15,0.282,1.033,0.067,"NN",7.15,1.8,9.91,961,-729,-600,-176,9089
"NGC_7129",325.74,66.114,105.403,9.887,0.042,36,-1.759,0.291,-3.267,0.376,1.086,0.05,"NN",7.33,1.78,9.72,878,-229,834,150,8610
"NGC_2264",100.217,9.877,202.941,2.166,0.072,161,-1.69,0.508,-3.727,0.251,1.354,0.094,"NN",7.44,0.79,9.25,707,-650,-275,26,8995
"UBC_392",336.125,64.926,108.154,6.355,0.073,33,-0.642,0.109,-3.287,0.112,1.056,0.032,"NN",7.85,1.47,9.92,965,-298,911,106,8686
"NGC_7160",328.448,62.589,104.014,6.437,0.075,45,-3.472,0.152,-1.378,0.197,1.05,0.055,"NN",7.16,1.07,9.78,903,-217,871,101,8601
"Pismis_Moreno_1",334.695,63.251,106.713,5.293,0.075,62,-2.301,0.335,-2.251,0.3,1.051,0.079,"NN",6.95,2.06,9.96,981,-281,936,90,8671
"UPK_178",334.479,60.071,104.863,2.708,0.078,31,-4.297,0.127,-3.322,0.146,1.039,0.038,"NN",8.31,1.8,9.92,962,-246,929,45,8636
"NGC_6178",248.939,-45.635,338.408,1.219,0.08,34,0.521,0.204,-3.342,0.153,1.099,0.08,"NN",7.22,0.52,9.8,913,849,-336,19,7498
"UPK_126",311.768,43.816,83.763,0.292,0.081,34,-1.467,0.264,-1.964,0.29,1.177,0.121,"NN",7.13,1.68,9.51,796,86,791,4,8291
"UPK_38",280.829,-1.654,30.544,1.054,0.082,29,-1.102,0.274,-5.202,0.233,1.675,0.119,"NN",7.16,2.09,8.9,601,518,305,11,7827
"FSR_0398",339.135,64.153,108.869,5.029,0.084,55,-3.218,0.192,-1.109,0.123,1.043,0.038,"NN",7.26,2.01,9.81,917,-295,864,80,8678
"UBC_394",343.738,59.247,108.518,-0.321,0.087,31,2.152,0.092,0.068,0.07,1.092,0.023,"manual",8.2,1.85,9.91,958,-304,908,-5,8692
"UPK_468",118.411,-13.511,232.15,7.217,0.087,13,-1.53,0.073,0.131,0.096,1.125,0.038,"NN",7.83,0.17,9.68,862,-524,-675,108,8890
"FSR_1117",94.159,-8.945,217.046,-11.764,0.09,26,-3.711,0.218,0.704,0.354,1.049,0.13,"NN",7.19,1.52,9.8,911,-712,-537,-185,9067
"UBC_480",119.954,-50.636,264.864,-10.761,0.094,13,-5.373,0.119,5.67,0.062,2.077,0.02,"NN",8.32,0.08,8.41,481,-42,-471,-89,8395
"FSR_0551",24.938,64.878,128.034,2.486,0.095,44,0.112,0.144,-1.422,0.163,1.063,0.052,"NN",7.13,1.06,9.95,976,-601,768,42,8974
"NGC_1333",52.297,31.31,158.343,-20.505,0.095,50,7.425,0.868,-9.865,0.515,3.344,0.268,"NN",7.06,2.12,7.38,299,-260,103,-104,8601
"IC_348",56.132,32.159,160.486,-17.81,0.096,139,4.483,0.593,-6.447,0.603,3.079,0.152,"NN",7.07,1.91,7.64,337,-303,107,-103,8643
"ASCC_66",168.367,-55.437,289.28,4.816,0.097,22,-11.331,0.104,2.969,0.09,0.999,0.045,"NN",7.77,0.07,9.94,971,319,-913,81,8072
"NGC_6716",283.616,-19.888,15.397,-9.565,0.099,76,-1.476,0.199,-6.013,0.184,1.405,0.079,"NN",7.99,0.43,9.23,702,668,183,-116,7674
"NGC_6997",314.128,44.64,85.473,-0.475,0.101,88,-4.275,0.155,-6.882,0.19,1.127,0.033,"NN",8.81,1.43,9.77,901,71,898,-7,8317
"UBC_385",317.94,60.092,98.589,8.033,0.102,26,-2.53,0.068,-3.468,0.094,1.178,0.042,"NN",7.29,1.2,9.71,876,-129,858,122,8512
"UPK_13",282.007,-18.281,16.194,-7.497,0.102,86,-1.131,0.151,-4.104,0.155,1.063,0.056,"NN",8.25,0.67,9.89,950,905,262,-124,7439
"UPK_630",249.193,-51.304,334.311,-2.714,0.104,36,-1.76,0.089,-2.289,0.073,1.047,0.043,"NN",8.05,0.25,9.75,892,803,-386,-42,7546
"NGC_6250",254.497,-45.951,340.678,-1.936,0.105,76,0.454,0.156,-2.379,0.142,0.988,0.059,"NN",7.38,1.18,10,998,941,-330,-33,7405
"NGC_1758",76.175,23.813,179.158,-10.46,0.106,137,3.156,0.146,-3.465,0.129,1.103,0.059,"NN",8.44,0.93,9.74,885,-870,12,-160,9210
"Ruprecht_108",203.002,-58.509,308.223,3.945,0.106,32,-9.025,0.178,-2.323,0.155,0.977,0.059,"NN",7.92,0.27,9.98,992,612,-778,68,7766
"ESO_130_06",181.97,-59.31,297.391,3.092,0.109,71,-11.266,0.148,-0.866,0.127,1.229,0.039,"NN",8.15,0.27,9.54,808,371,-716,43,8000
"NGC_7058",320.448,50.822,92.891,0.603,0.109,26,7.432,0.2,2.889,0.239,2.73,0.032,"NN",7.61,0.18,7.73,350,-17,350,3,8365
"UBC_250",118.12,-60.373,273.142,-16.294,0.113,25,-3.502,0.174,10.888,0.13,1.016,0.032,"NN",8.52,0.31,9.92,962,50,-922,-269,8340
"NGC_6425",266.733,-31.507,357.95,-1.578,0.114,128,3.801,0.151,-1.647,0.123,0.987,0.071,"NN",8.67,0.87,9.95,976,975,-34,-26,7364
"UPK_578",192.965,-57.367,302.989,5.504,0.117,55,-12.913,0.108,-4.654,0.15,1.045,0.068,"NN",8.94,0.7,9.9,956,518,-798,91,7862
"NGC_7063",321.122,36.507,83.093,-9.888,0.12,64,1.524,0.131,-2.482,0.123,1.477,0.04,"NN",7.99,0.23,9.1,661,78,646,-113,8286
"UBC_255",128.456,-61.463,276.758,-12.514,0.12,49,-4.882,0.088,2.831,0.108,1.049,0.036,"NN",9.38,0,9.75,890,102,-863,-192,8282
"UBC_415",42.54,72.914,131.489,12.034,0.12,17,-1.301,0.091,-1.626,0.175,1.096,0.043,"NN",7.37,1.06,9.59,829,-537,607,172,8898
"UBC_167",324.786,62.332,102.559,7.355,0.123,39,-2.078,0.094,-3.022,0.111,1.065,0.028,"NN",7.34,1.08,9.85,931,-200,901,119,8588
"Pismis_5",129.407,-39.603,259.355,0.905,0.124,80,-5.494,0.224,4.275,0.163,1.026,0.067,"NN",7,1.48,9.87,941,-173,-925,14,8564
"UPK_23",282.218,-12.879,21.149,-5.265,0.124,15,-0.913,0.079,-2.127,0.071,1.021,0.043,"NN",8.04,1.11,9.94,972,903,349,-89,7444
"NGC_1977",83.815,-4.819,208.45,-19.137,0.128,115,1.271,0.471,-0.753,0.503,2.521,0.069,"NN",7.99,1.64,8.05,407,-338,-183,-133,8680
"Gulliver_11",67.996,43.62,159.434,-3.079,0.131,61,0.4,0.206,-2.229,0.149,1.061,0.068,"NN",8.51,0.76,9.79,907,-848,318,-48,9194
"UBC_56",69.874,47.534,157.428,0.529,0.133,72,1.594,0.193,-4.008,0.123,1.118,0.045,"NN",8.78,1.59,9.75,891,-823,342,8,9169
"NGC_2183",92.717,-6.213,213.898,-11.839,0.139,52,-3.605,0.454,0.447,0.254,1.211,0.123,"NN",7.24,1.6,9.56,815,-662,-444,-167,9013
"ASCC_97",279.263,-19.139,14.25,-5.553,0.14,20,-2.331,0.327,-6.508,0.385,1.74,0.086,"manual",8.05,1.17,8.89,598,577,146,-57,7763
"NGC_2925",143.321,-53.413,275.956,-1.254,0.141,84,-8.533,0.171,5.336,0.145,1.295,0.046,"NN",8.11,0.2,9.34,738,76,-734,-16,8295
"UBC_55",66.364,46.122,156.823,-2.19,0.143,56,-1.067,0.141,-2.604,0.098,1.079,0.048,"NN",7.53,1.38,9.76,896,-823,352,-34,9170
"UPK_201",344.732,61.648,110.01,1.645,0.143,32,-3.995,0.113,-3.376,0.16,1.061,0.049,"NN",7.2,3.39,9.82,919,-314,863,26,8697
"vdBergh_80",97.739,-9.625,219.247,-8.891,0.143,75,-3.298,0.397,0.418,0.385,1.025,0.103,"NN",6.81,1.53,9.8,910,-696,-569,-140,9054
"NGC_7039",317.663,45.597,87.847,-1.7,0.144,109,-0.32,0.287,-2.542,0.215,1.293,0.077,"NN",7.34,0.28,9.39,753,28,753,-22,8345
"UPK_605",234.582,-65.957,318.842,-8.387,0.144,57,-3.627,0.085,-4.257,0.134,1.319,0.046,"NN",7.84,0.16,9.33,734,547,-478,-107,7807
"UPK_502",124.371,-37.798,255.586,-1.267,0.147,44,-8.119,0.182,5.621,0.191,1.397,0.05,"NN",7.86,0.17,9.27,715,-177,-692,-15,8546
