#C.D.S.  -  SIMBAD4 rel 1.8  -  2022.10.13CEST13:54:02
#
#maintype='OpC'
#
#Number of objects : 4567
ID  |            identifier             |typ|        coord1 (ICRS,J2000/2000)         |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
1   |[KPS2012] MWSC 0635                |OpC|05 40 58.1 +20 21 22                     |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   3|   0
2   |[GKK2003] O228                     |OpC|05 44 18.0 -66 55 00                     |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
3   |[FSR2007] 0342                     |OpC|22 07 43.4 +53 06 14                     |     ~   |     ~   |     ~   |     ~   |     ~   |~              |  16|   0
4   |UBC 85                             |OpC|01 14 43.75697532 +57 51 38.7363743      |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   3|   0
5   |Teutsch 83                         |OpC|16 40 35.3 -45 27 52                     |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   1
6   |Cl Ruprecht 115                    |OpC|16 12 51.6 -52 23 35                     |     ~   |     ~   |     ~   |     ~   |     ~   |~              |  30|   0
7   |[DBS2003] 104                      |OpC|17 03 59.3 -51 05 17                     |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   9|   0
8   |[BDS2003] 157                      |OpC|19 26 02.0 +16 20 12                     |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   5|   0
9   |[KPR2005] 92                       |OpC|17 51 06.0 -11 53 00                     |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   8|   0
10  |KMHK 1613                          |OpC|06 03 19.0 -67 03 24                     |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   6|   0
11  |UPK 624                            |OpC|16 56 33.1 -60 25 19                     |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
12  |Cl Bochum 3                        |OpC|07 03 26.4 -05 01 16                     |     ~   |     ~   |     ~   |     ~   |     ~   |~              |  21|   0
13  |[FSR2007] 0598                     |OpC|02 39 07.2 +60 24 33                     |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
14  |KMHK 765                           |OpC|05 19 22.0 -67 13 36                     |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   5|   0
15  |[CKS2019] COIN-Gaia 11             |OpC|04 32 26.4 +39 28 44                     |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   6|   0
16  |Cl Berkeley 58                     |OpC|00 00 15.1 +60 56 13                     |     ~   |10.39    |9.7      |     ~   |     ~   |~              |  52|   0
17  |[FSR2007] 0216                     |OpC|20 43 21.3 +37 02 28                     |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
18  |[KPS2012] MWSC 0877                |OpC|06 29 15.8 +14 15 18                     |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   3|   0
19  |ESO 275-1                          |OpC|15 55 05.0 -46 00 51                     |     ~   |     ~   |     ~   |     ~   |     ~   |~              |  20|   0
