Name,RA,DEC,GLON,GLAT,r50,n07,pmRA,e_pmRA,pmDE,e_pmDE,plx,e_plx,Flag,Age,A,D_m,D_pc,X,Y,Z,Rgc
Ruprecht_134,268.184,-29.537,0.284,-1.64,0.055,80,-1.653,0.085,-2.432,0.1,0.391,0.057,NN,9.22,1.15,11.76,2252,2251,11,-64,6088
UBC_91,267.433,-28.761,0.615,-0.677,0.062,83,-0.587,0.084,-1.126,0.106,0.42,0.041,NN,8.36,1.28,11.71,2195,2194,23,-25,6145
Ferrero_1,275.063,-32.338,0.674,-8.158,0.188,98,0.149,0.153,-4.809,0.154,1.145,0.066,NN,8.4,0.4,9.71,875,866,10,-124,7473
UBC_336,267.98,-27.85,1.649,-0.621,0.03,22,0.736,0.075,0.156,0.058,0.31,0.018,notEnoughStars,---,---,---,---,---,---,---,---
Czernik_37,268.32,-27.373,2.209,-0.644,0.039,196,0.459,0.191,-0.445,0.147,0.406,0.095,NN,8.58,3.43,11.82,2314,2312,89,-26,6028
NGC_6520,270.856,-27.884,2.887,-2.846,0.028,44,0.688,0.126,-0.418,0.12,0.556,0.074,NN,8.09,0.88,11.1,1663,1659,83,-82,6681
UBC_92,269.883,-26.655,3.53,-1.488,0.059,105,2.116,0.091,0.406,0.096,0.37,0.044,NN,8.48,2.28,11.87,2370,2365,145,-61,5976
UBC_93,268.575,-25.399,4.03,0.157,0.033,52,-0.923,0.11,-1.875,0.077,0.334,0.023,NN,8.91,2.69,11.93,2432,2426,170,6,5916
UBC_94,269.643,-24.646,5.188,-0.284,0.102,41,-1.652,0.082,-4.451,0.062,0.747,0.015,NN,8.45,1.32,10.53,1276,1271,115,-6,7069
Ruprecht_138,269.984,-24.665,5.302,-0.576,0.057,83,0.248,0.104,-1.147,0.101,0.369,0.049,NN,6.98,2.21,12.18,2732,2721,252,-27,5624
UBC_337,271.722,-24.649,6.076,-1.937,0.077,40,0.482,0.086,-0.711,0.068,0.566,0.024,NN,7.62,2.49,11.1,1659,1648,175,-56,6693
UBC_338,271.535,-24.233,6.357,-1.594,0.08,38,0.02,0.09,-1.765,0.103,0.601,0.027,NN,8.37,2.14,11.02,1600,1590,177,-44,6752
NGC_6469,268.277,-22.3,6.56,1.965,0.061,48,0.638,0.12,0.813,0.076,0.587,0.06,NN,7.84,1.62,11.17,1710,1697,195,58,6644
UBC_95,268.252,-22.171,6.665,2.051,0.075,84,-0.156,0.114,-1.298,0.115,0.492,0.024,NN,8.6,2.15,11.61,2101,2085,243,75,6259
UBC_339,271.308,-23.308,7.085,-0.961,0.037,19,0.559,0.071,-0.585,0.051,0.386,0.017,NN,9,1.65,11.85,2346,2328,289,-39,6018
UBC_340,270.774,-22.649,7.398,-0.236,0.081,27,0.723,0.096,-2.553,0.106,0.702,0.017,NN,8.63,1.79,10.71,1383,1372,178,-5,6970
NGC_6531,271.036,-22.505,7.656,-0.348,0.118,158,0.525,0.171,-1.521,0.161,0.798,0.06,NN,7.11,0.67,10.33,1165,1154,155,-7,7186
Teutsch_14a,270.873,-22.12,7.917,-0.027,0.045,43,-0.369,0.087,-1.611,0.093,0.343,0.048,tooRed,---,---,---,---,---,---,---,---
ESO_589_26,270.56,-21.922,7.947,0.323,0.031,82,-0.216,0.155,-2.695,0.118,0.336,0.055,NN,8.3,3.15,12.13,2666,2640,368,15,5711
NGC_6583,273.962,-22.143,9.28,-2.543,0.046,170,1.303,0.103,0.11,0.097,0.413,0.045,NN,9.08,1.52,11.56,2053,2024,330,-91,6323
NGC_6568,273.192,-21.612,9.406,-1.662,0.14,150,0.593,0.144,-1.377,0.131,0.936,0.043,NN,8.94,0.67,10.17,1079,1064,176,-31,7277
NGC_6494,269.237,-18.987,9.878,2.858,0.292,724,0.284,0.22,-1.809,0.22,1.354,0.062,NN,8.58,0.91,9.35,742,730,127,37,7610
UPK_4,281.361,-23.764,10.947,-9.381,0.263,75,-2.009,0.117,-6.373,0.127,1.239,0.057,NN,8.44,1.04,9.59,829,803,155,-135,7538
Dias_5,274.385,-19.707,11.614,-1.736,0.078,61,1.798,0.262,-0.945,0.311,0.744,0.08,NN,6.98,0.94,10.58,1303,1276,262,-39,7068
Markarian_38,273.819,-18.997,11.985,-0.928,0.044,17,0.845,0.078,-2.277,0.102,0.567,0.051,NN,7.2,0.84,11.28,1802,1762,374,-29,6587
UBC_572,280.417,-21.959,12.203,-7.784,0.06,23,0.999,0.099,-0.63,0.1,0.647,0.022,NN,9.28,1.1,10.92,1527,1479,319,-206,6868
UPK_5,273.304,-18.308,12.346,-0.177,0.332,71,0.659,0.252,-8.387,0.318,1.786,0.065,NN,8.29,0.27,8.84,587,573,125,-1,7767
Turner_3,274.393,-18.875,12.351,-1.348,0.02,16,0.474,0.116,-2.504,0.121,0.584,0.051,NN,7.99,1.81,11.18,1719,1679,367,-40,6670
Trumpler_33,276.159,-19.711,12.395,-3.213,0.048,29,0.435,0.132,0.449,0.094,0.677,0.04,NN,7.76,1.22,10.81,1455,1418,311,-81,6928
Collinder_469,274.143,-18.309,12.736,-0.871,0.029,24,0.089,0.059,-1.679,0.053,0.399,0.054,NN,6.98,1.96,11.92,2422,2362,533,-36,6001
LP_1218,273.976,-18.099,12.845,-0.632,0.06,89,-0.034,0.084,-1.161,0.123,0.365,0.051,NN,8.41,1.86,12.02,2536,2473,563,-27,5893
NGC_6603,274.616,-18.409,12.861,-1.314,0.04,403,0.119,0.142,-2.042,0.133,0.324,0.062,NN,8.34,1.63,12.18,2727,2658,606,-62,5713
Gulliver_15,272.599,-16.723,13.423,1.181,0.089,58,-1.06,0.119,-1.638,0.1,0.506,0.067,NN,7.93,2.08,11.55,2043,1986,474,42,6370
NGC_6561,272.659,-16.74,13.436,1.123,0.082,54,-0.002,0.109,-0.754,0.11,0.655,0.04,NN,7.27,0.95,10.85,1480,1439,343,29,6908
IC_4725,277.937,-19.114,13.701,-4.425,0.261,461,-1.688,0.208,-6.117,0.242,1.514,0.062,NN,8.05,0.84,9.22,698,676,164,-53,7665
NGC_6613,274.989,-17.089,14.193,-1.003,0.058,25,-0.508,0.103,-0.917,0.137,0.64,0.044,NN,7.26,1.11,10.85,1477,1432,362,-25,6917
ASCC_97,279.263,-19.139,14.25,-5.553,0.14,20,-2.331,0.327,-6.508,0.385,1.74,0.086,manual,8.05,1.17,8.89,598,577,146,-57,7763
UBC_96,273.777,-16.314,14.301,0.386,0.101,41,0.653,0.082,0.912,0.078,0.616,0.027,NN,8.22,0.95,10.96,1554,1506,384,10,6844
UPK_7,276.781,-17.401,14.727,-2.637,0.153,31,-0.294,0.203,-5.865,0.07,1.26,0.04,NN,8.46,0.89,9.47,782,756,198,-36,7586
Collinder_394,283.092,-20.229,14.869,-9.268,0.196,156,-1.459,0.184,-5.882,0.171,1.388,0.056,NN,7.96,0.54,9.23,700,667,177,-112,7674
UBC_341,276.464,-17.076,14.869,-2.242,0.09,94,-0.22,0.132,-1.487,0.093,0.478,0.029,NN,7.34,2.59,11.51,2005,1937,514,-78,6423
Blanco_1,0.853,-29.958,15.09,-79.086,0.699,380,18.739,0.432,2.602,0.444,4.21,0.121,NN,8.02,0.01,6.9,240,43,11,-236,8296
UBC_97,274.782,-15.722,15.296,-0.17,0.11,33,-0.872,0.087,-1.161,0.094,0.736,0.02,NN,8.08,1.16,10.69,1377,1328,363,-4,7020
UPK_12,288.805,-22.143,15.337,-14.956,0.217,47,0.579,0.179,-6.68,0.182,1.541,0.085,NN,8.3,0.22,8.99,628,585,160,-162,7756
Alessi_31,267.698,-11.853,15.339,7.709,0.331,165,-1.164,0.225,-4.122,0.206,1.477,0.072,NN,8.38,1.75,9.26,712,680,186,95,7661
NGC_6716,283.616,-19.888,15.397,-9.565,0.099,76,-1.476,0.199,-6.013,0.184,1.405,0.079,NN,7.99,0.43,9.23,702,668,183,-116,7674
