GLON,GLAT,Diam-a,Diam-b,Name,Class1,Class2,recno,RA_ICRS,DE_ICRS
0.01,-1.9,2.0,1.5,"AL 2,Andrews-Lindsay 2,ESO 456-5,MWSC 2734                                                                      ",OC   ,     ,2,268.2818,-29.90457
0.02,-1.43,1.0,1.0,"VVV 151,VVV-CL 151                                                                                              ",OC   ,     ,4,267.82153,-29.65676
0.05,2.14,2.0,2.0,Ryu 152                                                                                                         ,OC   ,     ,8,264.37026,-27.76323
0.09,4.97,1.8,1.8,Ryu 537                                                                                                         ,OC   ,     ,14,261.73039,-26.18957
0.1,-0.05,0.6,0.6,Ryu 153                                                                                                         ,OC   ,     ,16,266.51323,-28.87683
0.13,4.59,1.5,1.5,Ryu 538                                                                                                         ,OC   ,     ,23,262.1084,-26.36593
0.14,-0.84,12.0,10.0,"Ruprecht 131,OCL 2,ESO 455-45,MWSC 2706                                                                         ",OC   ,     ,27,267.31036,-29.25132
0.16,5.19,2.5,2.5,Ryu 539                                                                                                         ,OC   ,     ,30,261.56929,-26.00977
0.21,-4.68,2.4,2.4,Ryu 540                                                                                                         ,OC   ,     ,35,271.19839,-31.11075
0.26,0.75,2.5,2.5,Cmg 451                                                                                                         ,OC   ,     ,38,265.83168,-28.32228
0.27,-1.64,6.0,4.0,"Ruprecht 134,OCL 4,BH 252,ESO 456-1,MWSC 2730                                                                   ",OC   ,     ,41,268.17579,-29.54868
0.36,-0.42,1.0,1.0,Ryu 541                                                                                                         ,OC   ,     ,49,267.02841,-28.8463
0.54,-0.55,5.0,5.0,ESO 455-44                                                                                                      ,OC   ,     ,66,267.26144,-28.75914
0.62,0.98,0.7,0.7,"DB 21,Dutra-Bica 21                                                                                             ",OC   ,     ,86,265.82404,-27.89517
0.66,-8.16,15.0,15.0,"Ferrero 1,ASCC 96,Slotegraaf 61,MWSC 2893                                                                       ",OC   ,     ,90,275.05751,-32.35129
0.78,5.61,1.7,1.7,Ryu 154                                                                                                         ,OC   ,     ,97,261.56014,-25.26322
1.05,0.17,4.2,4.2,Ryu 544                                                                                                         ,OC   ,     ,114,266.86003,-27.95062
