Cluster,GLON,e_GLON,GLAT,e_GLAT,Plx,e_Plx,pmRA*,e_pmRA*,pmDE,e_pmDE,RV,e_RV,N,NRV,Simbad,_RA.icrs,_DE.icrs
UBC1,87.5539555573,0.741811234868576,19.7603571941,0.353690001580593,3.05110832,0.0292427785654859,-2.493,0.25358366540968,3.694,0.24,-21.46,2.36,47,14,Simbad,287.9982745155,56.8334965783
UBC2,117.8944853313,0.622259914732554,-15.9919169092,0.329447652598458,1.74549485,0.0377172585908977,-6.34,0.126454988360447,-5.003,0.136,-9.73,2.22,23,4,Simbad,5.8024205633,46.6035473971
UBC3,44.3538008449,0.24632812274553,4.7969679521,0.121854858762665,0.58742118,0.0461562785479166,-0.602,0.0800407742501482,-1.36,0.093,-7.25,13.54,29,2,Simbad,283.7719958244,12.3428024513
UBC4,161.4288809818,1.05609780468327,-12.7554934236,0.507951256692704,1.64486543,0.0544229603594016,-0.75,0.134470595239529,-5.725,0.135,3.67,1.65,44,3,Simbad,60.9680534772,35.3573586296
UBC5,331.744445636,0.561081421003642,4.6840974277,0.326262426974018,1.78846472,0.0139825070822178,-6.699,0.154625969544168,-4.184,0.099,-14.91,     ,29,1,Simbad,238.4291779061,-47.7286680723
UBC6,105.1368978094,0.294095633791651,-7.633140411,0.21153356238315,0.67448172,0.0110988504952192,-4.646,0.0677771059931845,-4.904,0.087,-31.64,1.51,76,3,Simbad,343.9518271736,51.1992971821
UBC7,248.8024831108,0.71749952247778,-13.2530859455,0.420767381133364,3.56285334,0.0571762882908752,-9.744,0.19953477507396,6.999,0.209,16.42,4.71,77,21,Simbad,106.923283092,-37.7444397273
UBC8,154.8316676715,0.640485251262602,13.3018620893,0.361311128971726,2.0523527,0.0365076546282873,-3.149,0.172670519757468,-3.999,0.16,-5.96,3.94,103,21,Simbad,84.3700294715,57.1632570292
UBC9,54.4811913155,0.406979530865569,16.8075037586,0.383578114911716,2.87534402,0.0296039433514701,0.607,0.164896289951404,-5.354,0.186,-17.98,3.12,25,6,Simbad,276.6408754882,26.409285557
UBC10_a,102.0391680321,1.02151888795512,7.0212652794,0.555350054287291,1.07892849,0.0137524125239626,-2.147,0.115106006655488,-3.035,0.128,-23.12,     ,43,1,Simbad,324.4386943961,61.760093297
UBC10_b,102.4923477095,0.360598478233281,5.7590437211,0.554558057200895,1.01430925,0.017924082717355,-3.465,0.0967027865696491,-1.868,0.107,-46.9,     ,40,1,Simbad,326.8831910738,61.1044262259
UBC11,326.8169892427,1.15318910022271,-7.3958919118,0.616186585692868,2.13930407,0.0441617895084122,-0.309,0.375061562416899,-6.789,0.29,-18.18,5.35,44,4,Simbad,246.1956051722,-59.9621702227
UBC12,231.8169009781,0.713707242920445,16.2480987492,0.416945190038717,2.21473347,0.0568642924331055,-8.28,0.206041535961035,4.08,0.283,31.34,     ,19,1,Simbad,126.1328404253,-8.567445851
UBC13,218.0428845636,1.02362628609959,17.6822676177,0.997534290303193,1.60725499,0.046455956905674,-7.768,0.195718186978501,-1.163,0.216,22.91,5.48,36,6,Simbad,120.8970096509,3.6097828417
UBC14,41.7069142767,1.06047333454093,-8.9104570042,0.521041890682863,1.30479812,0.0262836540299797,0.142,0.167792208771872,-2.096,0.208,-9.85,     ,46,1,Simbad,294.8055906422,3.6410499138
UBC17_a,205.2344017893,1.04520115464998,-18.0126367036,1.06176327636348,2.74827096,0.0451986613190177,1.593,0.273818910452455,-1.207,0.228,18.96,7.64,180,18,Simbad,83.3831160514,-1.5836899477
UBC17_b,205.1869426755,0.958736769535453,-18.0204980234,0.798213244238621,2.3634279,0.0450126624121738,0.055,0.178802553052516,-0.167,0.245,33.19,4.41,103,4,Simbad,83.3549224225,-1.5475732538
UBC19,162.2548676033,0.247563218381744,-19.326377854,0.323280126761675,2.39311338,0.116262787347935,2.72,0.538133981660457,-5.19,0.279,31.38,3.46,34,2,Simbad,56.4839388612,29.9192187217
UBC21,244.5687336565,1.10455802041094,12.9011504441,0.556936937355003,1.12005519,0.0251568919011754,-6.511,0.229481219002865,2.482,0.175,      ,     ,47,0,Simbad,130.3502806399,-20.6854050007
UBC26,53.6142530152,0.86196067269212,7.8062901976,0.491835574312007,1.66038839,0.0309577831210777,2.016,0.172701166674502,-5.181,0.217,6.79,17.43,64,2,Simbad,285.2486753422,21.9225216879
UBC27,52.0053985071,0.247425700412655,-2.7396248236,0.253035879330321,0.8819919,0.0332068683838518,-0.829,0.078086288359033,-6.223,0.083,      ,     ,65,0,Simbad,294.3193916955,15.5871358739
UBC31,163.3365790169,1.04873733083219,-14.5571173638,1.14249702147102,2.70536512,0.0790218784126176,3.78,0.221454888834444,-5.437,0.245,22.74,5.73,84,12,Simbad,61.1186318633,32.7754224615
UBC32,18.8768460944,0.967937507385012,-3.3886688939,0.600651406521516,3.56164844,0.0490082828690165,-1.753,0.269894406161014,-9.265,0.297,-21.58,7.24,60,14,Simbad,279.4355313604,-14.0466813091
