"Cluster","RA_ICRS","e_RA_ICRS","DE_ICRS","e_DE_ICRS","GLON","e_GLON","GLAT","e_GLAT","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","Note","_RA.icrs","_DE.icrs"
"UBC91 ",267.42211505596,0.06555396898,-28.7589762368,0.07158034281,0.6125772211,0.0730822157,-0.6707254708,0.0555486269,0.4223,0.0303,-0.587,0.086,-1.125,0.108," ",267.42211794055,-28.75897139325
"UBC92 ",269.88376634748,0.066903353,-26.65485047347,0.06431004126,3.5300484945,0.0678888693,-1.4877204557,0.0557250667,0.3753,0.0392,2.125,0.091,0.406,0.091," ",269.88375610912,-26.65485222276
"UBC93 ",268.57276202229,0.0471716174,-25.39040139782,0.04908984093,4.0326902373,0.0417000374,0.1657842852,0.0498711883,0.3386,0.0268,-0.931,0.107,-1.884,0.093," ",268.57276646107,-25.3903932857
"UBC94 ",269.63254755312,0.08793675393,-24.63646267756,0.101501243,5.1672216476,0.1008899386,-0.2854173443,0.0806967128,0.7481,0.0142,-1.659,0.07,-4.453,0.065," ",269.63255540919,-24.63644350531
"UBC95 ",268.24738290222,0.06433268589,-22.16520027826,0.09233469073,6.6626457764,0.0885102967,2.0570985359,0.0651992983,0.4931,0.0269,-0.15,0.127,-1.28,0.113," ",268.24738359772,-22.16519476583
"UBC96 ",273.76076497077,0.09265254232,-16.32670858006,0.10248830341,14.3055446834,0.110930363,0.3941884419,0.0781401852,0.6176,0.0245,0.643,0.111,0.934,0.083," ",273.76076208574,-16.32671260194
"UBC97 ",274.77949742256,0.09503999972,-15.72624735287,0.08471873609,15.2990159083,0.0987023327,-0.1822458424,0.0761813934,0.7334,0.0156,-0.871,0.083,-1.146,0.084," ",274.77950132065,-15.72624241683
"UBC98 ",288.83210999825,0.15271510355,-22.14031083893,0.14126926694,15.375113985,0.1252957246,-14.9292632297,0.1591118518,1.5342,0.0286,0.561,0.11,-6.664,0.172,"a",288.83210739215,-22.14028214728
"UBC99 ",282.02357456736,0.09410648411,-18.30196683224,0.08752922969,16.177286183,0.0849791876,-7.5194784185,0.0924365244,1.0618,0.0337,-1.158,0.099,-4.096,0.133,"a",282.02357982026,-18.30194919503
"UBC100",281.26161692028,0.06841649886,-11.12322704298,0.1018469064,22.2972452518,0.101682271,-3.6474924149,0.0676962251,0.6975,0.013,-1.103,0.079,-3.331,0.087," ",281.26162176028,-11.12321270233
