"Cluster","RA_ICRS","DE_ICRS","r50","N","pmRA","pmDE","Plx","Dist","e_Dist","logage","e_logage","[Fe/H]","e_[Fe/H]","Av","e_Av"
"ASCC_10          ",51.8737,35.0113,0.498,31,-1.704,-1.348,1.465,643,30,8.178,0.155,0.109,0.1,0.82,0.11
"ASCC_101         ",288.419,36.3653,0.357,72,0.924,1.364,2.502,397,1,8.521,0.162,0.004,0.064,0.152,0.071
"ASCC_105         ",295.6291,27.3637,0.678,126,1.461,-1.611,1.786,545,8,8.328,0.138,0.051,0.055,0.45,0.039
"ASCC_107         ",297.1623,22.0071,0.156,59,-0.144,-5.158,1.118,864,30,7.44,0.121,0.353,0.103,1.372,0.129
"ASCC_108         ",298.3162,39.3132,0.526,228,-0.509,-1.691,0.837,1138,31,8.334,0.108,0.093,0.093,0.464,0.071
"ASCC_11          ",53.0779,44.8787,0.285,274,0.95,-3.022,1.142,849,20,8.66,0.063,-0.056,0.064,0.917,0.075
"ASCC_110         ",300.7723,33.5487,0.205,68,0.278,-3.134,0.495,1583,143,8.795,0.084,0.14,0.195,1.228,0.122
"ASCC_111         ",302.7576,37.4883,0.52,153,-1.168,-1.525,1.168,819,18,8.507,0.209,0.08,0.096,0.605,0.084
"ASCC_113         ",318.0929,38.5861,0.497,96,0.798,-3.688,1.762,559,9,8.455,0.226,-0.052,0.111,0.279,0.132
"ASCC_114         ",324.979,53.999,0.18,149,-3.754,-3.435,1.063,911,12,7.632,0.271,0.035,0.078,1.216,0.091
"ASCC_115         ",329.3149,51.524,0.239,38,-0.549,-0.551,1.313,742,17,8.389,0.239,0.05,0.174,0.945,0.204
"ASCC_12          ",72.4335,41.7837,0.267,162,-0.616,-2.81,0.936,1010,36,8.356,0.262,-0.114,0.081,1.088,0.082
"ASCC_123         ",340.2234,54.1737,1.136,51,12.309,-1.553,4.287,233,1,7.793,0.083,-0.006,0.072,0.306,0.062
"ASCC_127         ",347.1807,64.9151,0.541,113,7.49,-1.781,2.618,365,10,7.496,0.131,0.152,0.115,0.668,0.08
"ASCC_128         ",349.9374,54.4024,0.457,71,1.213,0.188,1.507,650,11,8.243,0.223,0.025,0.056,0.613,0.037
"ASCC_13          ",78.3057,44.4212,0.564,110,-0.477,-1.737,0.899,1066,26,7.615,0.098,-0.075,0.078,0.915,0.027
"ASCC_16          ",81.2025,1.6256,0.367,207,1.363,0.002,2.844,348,3,7.088,0.061,-0.062,0.069,0.224,0.045
"ASCC_19          ",82.0035,-1.9617,0.613,173,1.112,-1.303,2.756,356,2,7.139,0.03,0.076,0.077,0.189,0.043
"ASCC_21          ",82.1423,3.4771,0.419,102,1.381,-0.61,2.893,343,5,7.102,0.038,-0.008,0.029,0.236,0.048
"ASCC_23          ",95.0305,46.7183,0.294,121,1.112,-0.627,1.583,608,12,8.605,0.102,0.025,0.099,0.325,0.097
"ASCC_29          ",103.5647,-1.6507,0.156,54,-1.001,-1.015,0.954,1008,24,7.892,0.165,-0.096,0.071,0.4,0.046
