Name,GLON,GLAT,Dist,e_Dist,m-M,e_m-M,logt,e_logt,E(B-V),e_E(B-V),rlim,rc,rt,pmRAcl,pmDEcl,plxcl,Nmemb,RA_ICRS,DE_ICRS
UFMG11,330.696899439479,-1.37652128933329,2455,340,11.95,0.3,8.4,0.15,0.67,0.05,546,86,673,-2.083,-2.05,0.3,112,243.50001,-52.963
UFMG16,337.070458975643,3.73164893622343,1148,132,10.3,0.25,8.6,0.5,0.5,0.1,588,286,603,0.48,-2.347,0.734,24,245.05001,-44.861
UFMG22,351.206453170995,-2.36165180569229,1514,210,10.9,0.3,9.0,0.1,0.92,0.1,558,64,686,-0.412,-2.61,0.358,101,263.19001,-37.63499
UFMG24,350.262992919266,2.02719818586182,1259,233,10.5,0.4,8.2,0.4,0.65,0.1,304,79,847,2.094,-1.089,0.677,14,258.008,-35.9226
UFMG29,350.101665245781,1.08898510473538,1380,256,10.7,0.4,8.7,0.15,0.77,0.1,617,156,764,-0.986,0.524,0.585,29,258.83402,-36.60279
UFMG30,339.835957852787,-5.415310059517,1175,218,10.35,0.4,7.9,0.4,0.55,0.15,917,189,579,-0.422,-0.82,0.817,29,257.84001,-48.723
UFMG34,323.481762834275,-1.47214179749225,1380,256,10.7,0.4,9.25,0.1,0.95,0.05,654,110,1045,-3.591,-5.729,0.38,87,233.83902,-57.65
UFMG37,321.813642964436,-0.447805616376592,912,169,9.8,0.4,8.85,0.15,0.86,0.1,333,109,367,-5.466,-5.308,0.72,21,230.18001,-57.74
UFMG38,330.007228746291,-0.327925377976129,2042,283,11.55,0.3,8.9,0.2,1.35,0.2,808,199,1105,-1.641,-2.594,0.255,137,241.48501,-52.66
UFMG39,316.500472636881,2.22452967344199,1259,233,10.5,0.4,8.75,0.2,0.5,0.15,408,141,482,-3.421,-1.616,0.626,25,219.01001,-57.865
UFMG41,325.194133372191,-0.345327749253856,1445,268,10.8,0.4,8.2,0.4,1.26,0.1,354,96,974,-1.026,-1.897,0.503,27,235.14001,-55.7288
UFMG42,325.889094349648,-0.272427714890498,5012,1164,13.5,0.5,7.95,0.15,2.2,0.15,433,57,498,-6.289,-4.235,0.32,43,236.04001,-55.251
UFMG43,325.638878972544,-0.28135865863809,1698,315,11.15,0.4,8.5,0.2,1.35,0.1,717,351,1020,-3.834,-3.911,0.419,59,235.70001,-55.41
UFMG44,325.62072454603,-0.305240706258851,933,173,9.85,0.4,8.95,0.1,0.22,0.05,546,291,503,-3.718,-5.372,0.561,25,235.70001,-55.44
UFMG45,327.150612527222,-1.99138628653287,1585,368,11.0,0.5,8.8,0.2,0.5,0.15,488,451,843,-2.548,-2.908,0.314,28,239.68301,-55.793
UFMG46,6.96003441584789,-4.41444469407978,1995,277,11.5,0.3,8.9,0.15,0.61,0.15,408,77,496,-1.718,0.526,0.35,24,274.57001,-25.068
UFMG47,338.913669872554,-2.05703613230555,2630,487,12.1,0.4,8.25,0.1,1.45,0.1,333,59,610,-0.071,-2.073,0.323,60,253.02001,-47.39899
UFMG48,312.771919370236,2.01138871986823,3020,559,12.4,0.4,8.35,0.35,1.1,0.15,654,276,735,-4.311,-1.866,0.321,98,212.43701,-59.356
UFMG53,304.048740293213,-1.180376370379,2754,382,12.2,0.3,8.4,0.15,1.35,0.15,333,183,715,-8.707,-0.925,0.343,50,195.41002,-64.03
UFMG54,311.215807054702,-0.258750023536596,3802,527,12.9,0.3,7.6,0.15,2.32,0.2,433,75,551,-7.633,-2.069,0.274,71,210.71701,-61.9762
UFMG55,304.955762775992,1.5665966766773,2884,534,12.3,0.4,8.1,0.2,0.95,0.15,883,211,1385,-4.645,-0.931,0.28,173,197.06702,-61.239
UFMG58,256.214651158206,-1.17125417613626,6310,874,14.0,0.3,7.95,0.1,1.25,0.1,433,47,454,-2.953,3.356,0.18,75,124.88,-38.27001
UFMG59,256.996062198995,-0.161457992149917,1337,248,10.63,0.4,7.65,0.3,0.5,0.15,521,228,1005,-6.208,3.838,0.732,22,126.505,-38.33341
UFMG60,312.736369917064,-1.47668976684431,2291,424,11.8,0.4,7.65,0.4,0.9,0.15,379,164,895,-3.852,-2.519,0.428,37,214.63002,-62.679
UFMG61,299.691877419329,-0.922211376372602,2455,570,11.95,0.5,7.85,0.3,0.55,0.1,340,101,798,-4.208,-0.248,0.395,20,185.55501,-63.61
