"Cluster","GLON","e_LON","GLAT","e_LAT","Num","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","logA","A0","_RA.icrs","_DE.icrs"
"CWNU_1001",139.019,0.832,-2.2811,0.278,38,2.637,0.095,13.549,1.037,-15.244,1.098,8.65,0.9,43.192,56.7526
"CWNU_1002",104.6555,0.129,5.7598,0.064,34,0.945,0.069,-2.827,0.673,-2.702,0.935,7.7,1.25,330.4406,62.4475
"CWNU_1003",206.5725,0.165,-2.5455,0.272,37,1.544,0.034,-1.766,0.16,-4.762,0.106,7.55,0.4,97.6809,4.4869
"CWNU_1004",336.1446,0.363,8.4473,0.316,24,6.259,0.063,-11.103,0.361,-23.516,0.453,7.05,2.95,239.6985,-42.0316
"CWNU_1005",77.7626,0.107,-0.5267,0.052,20,0.88,0.023,0.087,0.964,-3.552,1.274,7.65,2.35,307.79,38.5528
"CWNU_1006",120.1856,0.68,5.8931,0.276,26,2.997,0.035,-6.617,0.262,0.144,0.272,7.85,0.75,5.3524,68.6046
"CWNU_1007",185.3173,0.758,-11.0622,0.543,87,2.866,0.298,-0.099,0.461,-5.895,0.472,7.55,1.25,79.3553,18.5041
"CWNU_1008",291.9708,0.334,0.2635,0.256,28,2.163,0.051,-14.323,0.451,-2.854,0.27,7.5,0.65,170.0335,-60.6504
"CWNU_1009",189.1853,1.012,-9.8081,0.553,67,2.778,0.415,-0.718,0.518,-5.833,0.462,7.35,0.5,82.6209,15.9904
"CWNU_1010",204.5781,1.397,-33.0703,1.282,30,6.237,0.18,-4.709,0.379,-1.105,0.567,8.15,0.45,69.7273,-8.0745
"CWNU_1011",79.2997,0.057,0.3303,0.069,33,1.044,0.067,-1.643,0.309,-4.089,0.142,6.2,3.15,308.0732,40.299
"CWNU_1012",32.7795,1.553,-45.0583,1.227,67,3.426,0.19,12.311,0.582,0.699,0.213,7.85,0.1,324.5475,-18.931
"CWNU_1013",245.5106,1.127,-13.7765,0.486,32,4.37,0.144,-11.978,1.07,8.328,0.381,7.5,0.05,104.716,-35.031
"CWNU_1014",339.5456,0.119,9.3853,0.166,65,6.299,0.101,-9.891,0.924,-23.555,0.558,6.7,0.35,242.1534,-39.0833
"CWNU_1015",203.1371,1.109,-26.1017,1.492,46,5.72,0.12,12.055,1.095,-14.383,1.145,7.7,0.45,75.3308,-3.7069
"CWNU_1016",290.0408,0.878,1.1534,0.402,35,2.391,0.061,-15.395,0.574,-0.711,0.855,7.7,0.4,167.1035,-59.1153
"CWNU_1017",100.9995,0.337,-16.3303,0.284,20,2.293,0.093,-1.47,0.175,-4.448,0.481,7.25,0.9,344.2128,41.6101
"CWNU_1018",204.8492,0.946,-33.8514,1.461,42,6.055,0.184,-9.469,0.566,-4.717,0.378,8.15,0.35,69.1285,-8.6315
"CWNU_1019",264.5918,0.861,-5.8271,0.574,24,2.351,0.124,-9.239,0.75,8.549,0.555,7.45,0.4,126.1334,-47.7947
"CWNU_1020",273.6809,1.184,-5.9269,0.484,124,2.295,0.084,-10.63,0.575,7.726,0.677,7.55,0.45,134.869,-55.0285
