"Name","Param","RA_ICRS","DE_ICRS","GLON","GLAT","pmRA","pmDE","plx","rad50","radtidal","Nstars","cst","Source","recno"
"PHOC_1","mclsize=20            ",126.99171,-42.77213,260.82519,-2.43877,-5.74049,4.79487,0.67176,0.11253,0.29276,32,8.64016,"                    ",1
"PHOC_2","mclsize=20            ",280.11046,-3.75444,28.33727,0.72968,0.46021,-1.59487,0.36409,0.09148,0.27473,47,5.94221,"                    ",2
"PHOC_3","mclsize=20            ",115.82515,-30.47724,245.65082,-3.39271,-2.03293,2.35049,0.40354,0.09138,0.24131,30,5.72349,"                    ",3
"PHOC_4","mclsize=20            ",106.79496,-7.69102,221.56591,-0.02817,-3.79721,1.09923,0.90855,0.22186,0.984,71,9.964,"                    ",4
"PHOC_5","mclsize=20            ",105.87639,-7.78365,221.23031,-0.8793,-0.66302,-1.0719,0.78939,0.13003,0.37616,39,6.91167,"                    ",5
"PHOC_6","mclsize=20            ",280.58971,-7.23217,25.46297,-1.28564,0.8816,-2.84786,0.38174,0.06089,0.22343,38,7.45834,"                    ",6
"PHOC_7","mclsize=20            ",285.72713,14.57508,47.21285,4.10906,-0.4124,-3.14931,0.48706,0.13502,0.34625,28,5.91714,"                    ",7
"PHOC_8","mclsize=20            ",288.83496,14.43364,48.47037,1.37132,-1.68503,-2.50165,0.34438,0.08074,0.27083,39,9.25808,"                    ",8
"PHOC_9","mclsize=20            ",79.58885,41.99368,166.04273,2.50754,0.13356,-0.45174,0.19857,0.06538,0.36876,43,6.5607,"                    ",9
"PHOC_10","mclsize=20            ",266.64221,-30.38888,358.86641,-0.93163,-0.22456,-1.58901,0.76451,0.09198,0.20716,29,6.89339,"                    ",10
"PHOC_11","mclsize=20            ",303.33324,32.17482,70.45293,-1.18486,-3.84522,-5.27124,0.46394,0.06518,0.34099,59,9.77957,"                    ",11
"PHOC_12","mclsize=20            ",151.67662,-59.757,283.53081,-3.24227,-5.227,5.40614,0.49918,0.26033,0.87132,71,8.11688,"                    ",12
"PHOC_13","mclsize=20            ",295.69927,23.66712,59.68013,0.10877,-1.74729,-4.22844,0.52379,0.1123,0.37066,64,8.80342,"                    ",13
"PHOC_14","mclsize=20            ",295.90822,24.44842,60.45277,0.33208,-3.53214,-6.55826,0.40752,0.05518,0.43634,36,7.74321,"                    ",14
"PHOC_15","mclsize=20            ",112.08044,-19.98267,234.82641,-1.24904,-2.47367,0.1993,0.45058,0.27336,0.8524,45,8.07419,"                    ",15
"PHOC_16","mclsize=20            ",111.04576,-20.22276,234.57635,-2.2182,-2.71943,3.09819,0.31695,0.05227,0.19463,58,9.74586,"                    ",16
"PHOC_17","mclsize=20            ",261.17393,-34.68742,352.76061,0.62527,-1.26482,-3.10451,0.55841,0.04687,0.12667,30,7.7243,"                    ",17
"PHOC_18","mclsize=20            ",261.54763,-37.8221,350.33342,-1.38136,0.58734,-0.98987,0.43136,0.10252,0.3906,57,7.0217,"                    ",18
"PHOC_19","mclsize=20            ",246.29277,-49.74211,334.19949,-0.3059,-1.32385,-3.09093,0.35481,0.05078,0.28386,118,12.79483,"                    ",19
"PHOC_20","mclsize=20            ",276.99874,-15.42143,16.56983,-1.92826,-2.66281,-3.57634,0.85869,0.13819,0.38488,48,9.90071,"                    ",20
"PHOC_21","mclsize=20            ",121.78181,-21.08485,240.36429,6.04144,-1.53285,0.71771,0.4571,0.20155,0.48968,34,6.24444,"                    ",21
"PHOC_22","mclsize=20            ",144.20369,-56.60523,278.48222,-3.27406,-5.55253,5.1854,0.34404,0.1175,0.45877,51,7.82422,"                    ",22
"PHOC_23","mclsize=20            ",62.37497,51.84933,150.95557,0.09421,1.55494,-0.81517,0.55837,0.15797,0.47283,38,7.48048,"                    ",23
"PHOC_24","mclsize=20            ",97.3599,8.0606,203.25463,-1.17546,0.81079,-3.08001,0.54343,0.29448,0.96186,63,6.03414,"                    ",24
