ID,lon,lat,pmRA*,e_pmRA*,pmDE,e_pmDE,dist_pc,e_dist,rGMM,rc,e_rc,N,e_N,log(age),RA_ICRS,DE_ICRS,plx
UPK_4,10.96,-9.35,-2.03,0.09,-6.4,0.11,784,24,22.48,11.25,0.07,37,89.66,8.45,281.37278,-23.74384,1.2755102040816326
UPK_5,12.39,-0.16,0.74,0.1,-8.38,0.17,550,16,23.3,8.26,0.12,25,34.69,8.0,273.31105,-18.27405,1.8181818181818181
UPK_7,14.74,-2.64,-0.28,0.14,-5.87,0.08,769,22,12.12,5.99,0.08,19,51.88,8.4,276.77174,-17.37131,1.3003901170351104
UPK_12,15.37,-14.92,0.58,0.1,-6.61,0.12,644,29,15.82,10.89,0.02,24,39.24,7.9,288.82072,-22.1412,1.5527950310559007
UPK_13,16.18,-7.51,-1.15,0.1,-4.12,0.1,915,25,12.11,2.67,0.02,45,85.0,7.9,282.01585,-18.29539,1.092896174863388
UPK_16,17.63,-12.34,-0.4,0.18,-5.14,0.19,802,39,23.81,6.82,0.08,29,55.16,7.9,287.26806,-19.08046,1.2468827930174564
UPK_17,18.11,-4.11,0.9,0.11,-7.92,0.12,659,20,27.44,8.55,0.08,39,83.82,8.9,279.73936,-15.05632,1.5174506828528074
UPK_18,18.34,-5.11,3.08,0.14,0.87,0.17,753,37,14.48,6.54,0.03,24,45.65,8.45,280.77096,-15.30396,1.3280212483399734
UPK_20,19.24,-5.05,3.32,0.15,1.14,0.14,472,23,44.32,22.11,0.09,40,65.44,8.8,281.133,-14.47641,2.1186440677966103
UPK_21,19.38,-6.93,7.82,0.1,0.73,0.1,587,13,20.98,9.92,0.03,22,53.55,8.95,282.93753,-15.19124,1.7035775127768313
UPK_23,21.14,-5.27,-0.9,0.12,-2.08,0.13,952,36,13.04,6.38,0.14,19,52.9,8.55,282.21027,-12.88466,1.050420168067227
UPK_24,23.33,-4.74,-3.75,0.12,-9.79,0.15,498,18,72.33,18.24,0.97,32,44.49,8.9,282.72798,-10.6975,2.0080321285140563
UPK_25,23.59,11.81,-0.31,0.09,0.19,0.12,629,31,50.21,24.68,0.43,19,46.17,8.95,268.092,-2.75613,1.589825119236884
UPK_26,24.44,-5.0,0.08,0.1,-4.42,0.08,875,26,26.23,15.27,0.16,42,78.92,8.05,283.4694,-9.82654,1.1428571428571428
UPK_27,24.78,4.54,2.36,0.1,-2.14,0.14,899,29,14.16,5.86,0.03,36,116.7,9.35,275.07495,-5.14689,1.1123470522803114
UPK_28,25.98,2.6,0.81,0.12,-2.49,0.13,882,33,13.44,0.98,0.25,28,90.77,8.9,277.35813,-4.98674,1.1337868480725624
UPK_29,26.13,1.19,0.45,0.12,2.83,0.11,656,13,13.52,13.38,0.12,22,88.07,8.75,278.68392,-5.50399,1.524390243902439
UPK_31,26.75,-6.59,-0.32,0.09,1.21,0.08,540,13,18.55,10.7,0.09,17,36.62,7.55,285.95211,-8.48417,1.8518518518518519
UPK_33,27.78,0.52,-0.13,0.15,-10.95,0.17,508,11,14.29,12.3,0.11,16,33.94,8.9,280.04153,-4.34584,1.968503937007874
UPK_38,30.54,1.04,-1.11,0.11,-5.27,0.1,572,7,8.75,1.52,0.11,8,11.53,6.45,280.84251,-1.65384,1.7482517482517483
UPK_39,31.37,5.24,3.29,0.39,-8.65,0.41,431,27,29.77,13.52,0.07,62,117.0,6.45,277.4846,1.00197,2.320185614849188
UPK_40,31.44,-11.69,0.29,0.15,-9.13,0.17,641,31,58.58,38.19,0.22,32,60.39,8.75,292.63734,-6.60829,1.5600624024960998
UPK_41,31.95,3.0,2.51,0.22,-8.13,0.23,480,19,43.23,34.34,0.16,61,115.35,6.85,279.74198,0.49468,2.0833333333333335
UPK_42,34.73,-11.5,-0.46,0.12,-5.03,0.11,592,15,22.54,5.99,0.03,41,77.45,8.75,293.91985,-3.64324,1.6891891891891893
UPK_45,36.84,-7.79,-0.62,0.11,-2.16,0.1,862,51,110.95,27.29,0.24,179,335.37,7.9,291.56887,-0.0978,1.160092807424594
