Seq,Cluster,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,GLON,GLAT,plx,e_plx,u_plx,pmRA*,e_pmRA*,pmDE,e_pmDE,logt,e_logt,RV,s_RV,e_RV,o_RV,N,Ref,SimbadName
1,Berkeley_58      ,0.056,0.109,60.937,0.059,116.751,-1.318,0.312,0.024,1,-3.361,0.049,-1.705,0.03,8.47,0.047,       ,      ,     ,  ,115,MWSC                     ,Berkeley 58              
2,NGC_7801         ,0.083,0.108,50.709,0.076,114.72,-11.346,0.47,0.026,1,-3.642,0.232,-2.439,0.14,9.255,      ,-10.41,4.71,0.82,2,33,MWSC                     ,NGC 7801                 
3,FSR_0459         ,0.187,0.072,59.247,0.036,116.482,-2.989,0.335,0.047,0,-2.953,0.162,-1.159,0.112,7.8,      ,       ,      ,     ,  ,28,MWSC                     ,[FSR2007] 0459           
4,Stock_18         ,0.393,0.088,64.621,0.034,117.619,2.264,0.388,0.017,1,-2.582,0.238,-0.938,0.23,8.68,      ,       ,      ,     ,  ,18,MWSC                     ,Stock 18                 
5,Berkeley_59      ,0.584,0.157,67.449,0.066,118.237,5.026,0.96,0.035,1,-1.591,0.065,-1.841,0.078,6.1,      ,       ,      ,     ,  ,44,MWSC                     ,Berkeley 59              
6,Blanco_1         ,0.939,0.738,-30,0.605,14.771,-79.132,4.218,0.069,1,18.632,0.117,2.588,0.039,7.75,      ,6.04,0.18,0.07,35,197,MWSC                     ,Blanco 1                 
7,Berkeley_104     ,0.883,0.122,63.572,0.06,117.632,1.195,0.232,0.018,1,-2.197,0.076,-0.514,0.068,8.805,0.031,-74.49,      ,0.04,1,99,MWSC                     ,Berkeley 104             
8,IRAS_00013+6817  ,0.925,0.084,68.56,0.041,118.572,6.093,0.717,0.021,1,-1.834,0.396,-0.93,0.592,7.15,      ,       ,      ,     ,  ,20,MWSC                     ,IRAS 00013+6817          
9,FSR_0504         ,1.436,0.13,81.852,0.032,121.229,19.131,0.564,0.027,1,-0.506,0.772,0.439,0.545,9.45,      ,-44.64,      ,0.3,1,12,MWSC                     ,[FSR2007] 0504           
10,Czernik_1        ,1.892,0.073,61.485,0.022,117.72,-0.942,0.333,0.022,1,-2.839,0.088,-1.443,0.037,7.76,      ,       ,      ,     ,  ,28,MWSC                     ,Czernik 1                
11,SAI_1            ,2.134,0.054,51.731,0.033,116.198,-10.579,0.468,0.022,1,-2.554,0.399,-2.521,0.277,9.27,      ,-82.77,      ,0.08,1,13,MWSC                     ,SAI 1                    
12,ASCC_1           ,2.446,0.098,62.708,0.056,118.178,0.222,0.179,0.011,1,-2.144,0.256,-0.482,0.134,8.406,      ,       ,      ,     ,  ,50,MWSC                     ,[KPR2005] 1              
13,Berkeley_1       ,2.397,0.077,60.472,0.032,117.794,-1.981,0.346,0.02,1,-2.194,0.135,-0.61,0.096,8.6,      ,-81.4,5.25,0.85,2,38,MWSC                     ,Berkeley 1               
14,King_13          ,2.558,0.101,61.172,0.044,117.984,-1.304,0.266,0.018,1,-2.694,0.032,-0.858,0.024,8.595,      ,-65.11,      ,0.45,1,112,MWSC                     ,King 13                  
15,Alessi_20        ,2.688,0.288,58.748,0.162,117.664,-3.707,0.263,0.171,0,-1.43,0.114,-0.901,0.066,7.575,0.188,       ,      ,     ,  ,67,MWSC                     ,Cl Alessi 20             
16,FSR_0474         ,2.692,0.092,59.728,0.04,117.821,-2.74,0.273,0.099,0,-1.561,0.153,-0.875,0.064,8.9,      ,       ,      ,     ,  ,41,MWSC                     ,[FSR2007] 0474           
17,FSR_0480         ,3.727,0.111,61.486,0.052,118.586,-1.077,0.171,0.114,0,-2.646,0.054,-0.439,0.033,9.3,      ,-52.67,      ,0.06,1,83,MWSC                     ,[FSR2007] 0480           
18,PTB_7            ,3.856,0.157,68.318,0.087,119.601,5.679,0.497,0.038,1,-1.493,0.176,-0.69,0.131,6.55,      ,       ,      ,     ,  ,42,MWSC                     ,PTB 7                    
19,Juchert-Saloran_1,4.074,0.081,59.959,0.048,118.542,-2.613,0.186,0.096,0,-1.621,0.043,-1.276,0.03,9.3,      ,-81.32,      ,0.06,1,43,MWSC                     ,                         
20,Berkeley_60      ,4.439,0.074,60.931,0.034,118.85,-1.673,0.281,0.023,1,-0.778,0.055,-0.713,0.035,8.4,      ,-61.97,      ,0.21,1,64,MWSC                     ,Berkeley 60              
21,ASCC_2           ,4.905,0.171,55.635,0.126,118.418,-6.958,0.473,0.033,1,-2.245,0.139,-2.236,0.135,8.87,0.08,       ,      ,     ,  ,10,MWSC                     ,[KPR2005] 2              
22,FSR_0486         ,5.121,0.037,59.341,0.023,118.988,-3.293,0.531,0.035,1,-2.13,0.421,-0.471,0.289,8.9,      ,-29.19,      ,0.18,1,31,MWSC                     ,[FSR2007] 0486           
23,FSR_0479         ,5.292,0.066,54.839,0.044,118.542,-7.774,0.527,0.028,1,-2.037,0.29,-1.388,0.178,8.8,      ,-49.06,5.01,0.73,2,47,MWSC                     ,[FSR2007] 0479           
