"DB","ID","RA_ICRS","DE_ICRS","GLON","GLAT","plx","pmRA","pmDE","fnames","UCC_ID"
"1_3","MWSC 4688",357.96682,-86.71718,303.90862,-30.2974,"nan","nan","nan","mwsc4688","UCC G303.9-30.2"
"1_3","MWSC 5684",193.4417,-86.64478,302.96916,-23.77321,"nan","nan","nan","mwsc5684","UCC G302.9-23.7"
"1_3","MWSC 5692",266.78311,-86.60992,306.56096,-26.14295,"nan","nan","nan","mwsc5692","UCC G306.5-26.1"
"1_3","MWSC 4005",2.8784,-85.47848,303.85091,-31.57832,"nan","nan","nan","mwsc4005","UCC G303.8-31.5"
"1_3","MWSC 4176",216.82717,-85.42054,304.95006,-22.92943,"nan","nan","nan","mwsc4176","UCC G304.9-22.9"
"1","ESO 008 06",224.227,-83.445,306.59326,-21.48475,"nan","nan","nan","eso00806","UCC G306.5-21.4"
"1_3","MWSC 4219",235.57105,-83.19315,307.90764,-22.04055,"nan","nan","nan","mwsc4219","UCC G307.9-22.0"
"1_3","MWSC 5575",29.93976,-83.04987,300.48209,-33.75044,"nan","nan","nan","mwsc5575","UCC G300.4-33.7"
"1_3","MWSC 4682",355.8361,-82.95873,305.40828,-33.83914,"nan","nan","nan","mwsc4682","UCC G305.4-33.8"
"1_3","MWSC 5685",196.338,-82.04054,303.44162,-19.18256,"nan","nan","nan","mwsc5685","UCC G303.4-19.1"
"1_3","MWSC 5681",160.45255,-82.00138,298.37126,-20.30351,"nan","nan","nan","mwsc5681","UCC G298.3-20.3"
"1_3","FSR 1626,MWSC 2014",184.98458,-81.50296,301.70722,-18.70621,"nan","nan","nan","fsr1626","UCC G301.7-18.7"
"1","FSR 1631",191.43,-81.258,302.703,-18.38879,"nan","nan","nan","fsr1631","UCC G302.7-18.3"
"1_3","FSR 1629,MWSC 2049",188.72838,-80.95992,302.24957,-18.11008,"nan","nan","nan","fsr1629","UCC G302.2-18.1"
"1_3","MWSC 5688",231.48548,-80.12938,309.44102,-19.27147,"nan","nan","nan","mwsc5688","UCC G309.4-19.2"
"1_3","ESO 026 02,MWSC 3341",306.64096,-80.00406,313.58333,-30.75427,"nan","nan","nan","eso02602","UCC G313.5-30.7"
"1_3","MWSC 4137",141.5577,-79.73962,294.39907,-20.46153,"nan","nan","nan","mwsc4137","UCC G294.3-20.4"
"1_3","MWSC 3299,Melotte 227,Collinder 411,OCL 918,ESO 025 18",304.13487,-79.00161,314.85316,-30.61177,"nan","nan","nan","melotte227","UCC G314.8-30.6"
"1_3","MWSC 5679",143.25014,-78.97162,294.02874,-19.70889,"nan","nan","nan","mwsc5679","UCC G294.0-19.7"
"1_3","MWSC 5572",28.56543,-78.96594,299.17744,-37.70033,"nan","nan","nan","mwsc5572","UCC G299.1-37.7"
"1_3","MWSC 5749",308.03867,-78.61483,315.01972,-31.45019,"nan","nan","nan","mwsc5749","UCC G315.0-31.4"
"1_3","ESO 021 06,MWSC 2208",213.96236,-78.50897,307.21862,-16.34592,"nan","nan","nan","eso02106","UCC G307.2-16.3"
"1_3","MWSC 5672",108.83632,-78.43945,290.19042,-25.35096,"nan","nan","nan","mwsc5672","UCC G290.1-25.3"
"1_3","MWSC 4114",91.97032,-78.22193,289.71791,-28.73124,"nan","nan","nan","mwsc4114","UCC G289.7-28.7"
"1_3","MWSC 5680",145.94775,-78.20564,293.85989,-18.78922,"nan","nan","nan","mwsc5680","UCC G293.8-18.7"
"1_3","FSR 1607,MWSC 1955",173.24056,-77.81918,298.71385,-15.59491,"nan","nan","nan","fsr1607","UCC G298.7-15.5"
"1_3","MWSC 5698",280.45097,-77.72233,316.59941,-25.95095,"nan","nan","nan","mwsc5698","UCC G316.5-25.9"
"1_3","MWSC 2358,FSR 1675",242.6101,-77.65562,312.85824,-18.81457,"nan","nan","nan","mwsc2358","UCC G312.8-18.8"
"1_3","MWSC 4140",144.15281,-77.47941,293.03999,-18.53085,"nan","nan","nan","mwsc4140","UCC G293.0-18.5"
"1_3","MWSC 2089,FSR 1640",197.97506,-77.44306,304.07985,-14.61695,"nan","nan","nan","mwsc2089","UCC G304.0-14.6"
"1_3","MWSC 1638,FSR 1579",138.42233,-77.43185,292.11408,-19.416,"nan","nan","nan","mwsc1638","UCC G292.1-19.4"
"1_26","Chamaleon I",166.5085,-77.41973,297.16707,-15.74359,5.261,-22.555,0.438,"chamaleoni","UCC G297.1-15.7"
"1_3","MWSC 4668",344.23924,-77.16803,310.70966,-38.17784,"nan","nan","nan","mwsc4668","UCC G310.7-38.1"
"1","FSR 1639",197.317,-77.135,303.95516,-14.29869,"nan","nan","nan","fsr1639","UCC G303.9-14.2"
"1","NGC 1520",59.468,-76.8,291.14124,-35.70067,"nan","nan","nan","ngc1520","UCC G291.1-35.7"
"1","FSR 1577",142.192,-76.085,291.66132,-17.87541,"nan","nan","nan","fsr1577","UCC G291.6-17.8"
"1","FSR 1598",170.775,-75.015,297.2028,-13.13466,"nan","nan","nan","fsr1598","UCC G297.2-13.1"
"1_3","MWSC 5676",130.47724,-74.76278,288.64194,-19.36127,"nan","nan","nan","mwsc5676","UCC G288.6-19.3"
"1_3","ESO 043 13,MWSC 2529",256.088,-74.34659,317.72195,-19.32387,"nan","nan","nan","eso04313","UCC G317.7-19.3"
"1_3","FSR 1647,MWSC 2159",206.43482,-73.95982,306.72671,-11.48948,"nan","nan","nan","fsr1647","UCC G306.7-11.4"
"1_3","MWSC 2112,FSR 1642",200.65856,-73.57118,305.17137,-10.83523,"nan","nan","nan","mwsc2112","UCC G305.1-10.8"
"1_3","MWSC 4138",141.77254,-73.50136,289.63052,-16.16753,"nan","nan","nan","mwsc4138","UCC G289.6-16.1"
"1_3","MWSC 5671",106.26941,-73.38146,284.57878,-24.94814,"nan","nan","nan","mwsc5671","UCC G284.5-24.9"
"1_3","MWSC 2453,FSR 1692",251.30735,-72.83213,318.21126,-17.3497,"nan","nan","nan","mwsc2453","UCC G318.2-17.3"
"1","FSR 1566",147.645,-72.762,290.38677,-14.46028,"nan","nan","nan","fsr1566","UCC G290.3-14.4"
"1","FSR 1667",215.423,-72.085,309.82485,-10.4318,"nan","nan","nan","fsr1667","UCC G309.8-10.4"
"1_3","FSR 1638,MWSC 2079",195.29056,-71.3959,303.71599,-8.53895,"nan","nan","nan","fsr1638","UCC G303.7-08.5"
"1_3","ESO 065 07,MWSC 2124",202.30113,-71.26595,305.98657,-8.61853,"nan","nan","nan","eso06507","UCC G305.9-08.6"
"1_3","FSR 1658,MWSC 2181",208.77662,-70.7548,308.17648,-8.53415,"nan","nan","nan","fsr1658","UCC G308.1-08.5"
"1_3","MWSC 5691",261.53278,-70.73278,321.88916,-18.88316,"nan","nan","nan","mwsc5691","UCC G321.8-18.8"
"1_3","NGC 1557,ESO 055 15",63.29302,-70.46755,283.76883,-38.26358,"nan","nan","nan","ngc1557","UCC G283.7-38.2"
"1_3","ESO 066 04,NGC 5359,MWSC 2194",210.01808,-70.39558,308.67291,-8.29265,"nan","nan","nan","ngc5359","UCC G308.6-08.2"
"1_3","MWSC 5674",121.64415,-70.32211,283.1724,-19.44194,"nan","nan","nan","mwsc5674","UCC G283.1-19.4"
"1_3","FSR 1572,MWSC 1799",155.90084,-69.82374,290.75546,-10.52802,"nan","nan","nan","fsr1572","UCC G290.7-10.5"
"1_3_26","ASCC 69,MWSC 1996",181.59366,-69.78,299.02901,-7.25046,1.342,-6.454,-1.89,"ascc69","UCC G299.0-07.2"
"1_3","MWSC 2069,ESO 065 03",192.8395,-69.72088,302.92495,-6.84913,"nan","nan","nan","eso06503","UCC G302.9-06.8"
"1_3_26","ASCC 51,MWSC 1647",139.523,-69.69,286.25084,-14.07415,1.818,-7.613,7.964,"ascc51","UCC G286.2-14.0"
"1_3","FSR 1661,MWSC 2188",209.47936,-69.37059,308.76236,-7.25484,"nan","nan","nan","fsr1661","UCC G308.7-07.2"
"1","ESO 062 08",155.415,-69.348,290.34666,-10.22248,"nan","nan","nan","eso06208","UCC G290.3-10.2"
"1_3","FSR 1568",156.19539,-69.07096,290.42936,-9.83927,"nan","nan","nan","fsr1568","UCC G290.4-09.8"
"1_3","ESO 062 11",159.72758,-69.03042,291.50464,-9.15269,"nan","nan","nan","eso06211","UCC G291.5-09.1"
"1_3","MWSC 1943,FSR 1593",171.94088,-68.73906,295.43531,-7.09393,"nan","nan","nan","mwsc1943","UCC G295.4-07.0"
"1_3","MWSC 4483",289.28639,-68.52546,327.13041,-27.43873,"nan","nan","nan","mwsc4483","UCC G327.1-27.4"
"1_26","ESO 064 05",186.16422,-68.46059,300.46639,-5.71714,0.787,-9.062,-1.459,"eso06405","UCC G300.4-05.7"
"1_8_12_20_26","NGC 1901",79.56,-68.32987,278.89688,-33.6244,2.362,1.637,12.688,"ngc1901","UCC G278.8-33.6"
"1_3","ASCC 78,MWSC 2270",226.3409,-68.39892,314.78703,-8.66663,"nan","nan","nan","ascc78","UCC G314.7-08.6"
"1_3_8_12_26","OCL 889,Harvard 6,Collinder 261,ESO 065 02,FSR 1627,MWSC 2055,VDBH 136",189.519,-68.377,301.6958,-5.53733,0.315,-6.351,-2.702,"vdbh136","UCC G301.6-05.5"
