"name","N_ucc","ucc_plx","ucc_pm_disp","N_h23","h23_plx","h23_pm_disp","h23_r50","CMDCl50","N_cg20","cg20_plx","cg20_pm_disp","cg20_r50","CST","C_lkl","C_dens","N_50","r_50_pc"
"dutrabica58",77,0.458,0.217,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.87,0.6,77,5.46
"eso45605",37,0.391,0.116,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.93,1.0,37,4.46
"vvv151",25,0.203,0.235,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.31,0.68,0,4.44
"db1",25,0.427,0.425,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.63,0.28,0,1.23
"fsr0001",34,0.081,0.187,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.09,0.51,34,27.29
"fsr0002",25,0.077,0.41,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.43,0.54,0,26.07
"ryu152",25,0.029,0.433,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.19,0.37,18,21.06
"ryu537",25,0.132,0.681,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.42,0.27,0,2.42
"ryu153",55,0.501,0.392,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.33,0.36,55,1.92
"db2",25,0.415,0.176,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.2,0.45,25,3.15
"vvv142",50,0.525,0.291,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.24,0.47,50,2.77
"ryu538",255,0.065,1.311,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.61,0.29,255,16.11
"db29",25,0.215,0.178,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.43,0.62,25,7.58
"ruprecht131",25,0.413,0.326,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.21,0.29,0,1.55
"vvv146",25,0.466,0.153,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.69,0.46,6,3.93
"ryu539",25,0.189,0.617,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.24,0.27,0,1.85
"ubc1001",85,0.394,0.057,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.92,1.0,85,8.64
"ryu540",45,0.257,0.447,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.17,0.44,45,2.49
"ubc1593",81,0.593,0.07,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.97,1.0,81,5.54
"casado7",85,0.59,0.093,69.0,0.561,0.151,1.66,0.998,"nan","nan","nan","nan",12.25607756,0.59,0.86,85,3.11
"cwwdl7654",59,0.599,0.084,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.72,0.91,59,2.38
"cmg451",25,0.405,0.197,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.46,0.55,20,3.81
"ruprecht134",404,0.425,0.137,289.0,0.395,0.18,2.83,0.62,80.0,0.39,0.125,2.46,25.29940435,1.0,1.0,404,3.49
"ufmg88",36,0.67,0.097,65.0,0.644,0.167,3.13,0.93,"nan","nan","nan","nan",12.19684001,0.95,1.0,36,2.74
